Source,Target,Type,Label,Src_Label,Tgt_Label,Scr_Role,Tgt_Role,Src_Title,Charter,Year
"Peter the Venerable, Abbot of Cluny","Anscher, Abbot of Reading",Directed,grants to,Peter the Venerable,Anscher,Grantor,Recipient,Abbot of Cluny,219,1130-1135
"Anscher, Abbot of Reading",Tomus,Directed,leases to,Anscher,Tomus,Grantor,Recipient,Abbot,821,1130-1135
Hugh,"Anscher, Abbot of Reading",Directed,witnesses,Hugo,Anscher,Witness,Grantor,,821,1130-1135
"Ralph, the provost","Anscher, Abbot of Reading",Directed,witnesses,Ralph,Anscher,Witness,Grantor,Provost,821,1130-1135
"Geoffrey, the steward","Anscher, Abbot of Reading",Directed,witnesses,Gaufredus,Anscher,Witness,Grantor,Steward,821,1130-1135
"Ralph, his partner","Anscher, Abbot of Reading",Directed,witnesses,Ralph,Anscher,Witness,Grantor,Partner,821,1130-1135
"Simon, the servant","Anscher, Abbot of Reading",Directed,witnesses,Simon,Anscher,Witness,Grantor,"Assistant, Servant",821,1130-1135
Hugh,Tomus,Directed,witnesses,Hugo,Tomus,Witness,Recipient,,821,1130-1135
"Ralph, the provost",Tomus,Directed,witnesses,Ralph,Tomus,Witness,Recipient,Provost,821,1130-1135
"Geoffrey, the steward",Tomus,Directed,witnesses,Gaufredus,Tomus,Witness,Recipient,Steward,821,1130-1135
"Ralph, his partner",Tomus,Directed,witnesses,Ralph,Tomus,Witness,Recipient,,821,1130-1135
"Simon, the servant",Tomus,Directed,witnesses,Simon,Tomus,Witness,Recipient,Assistant,821,1130-1135
"Anscher, Abbot of Reading",Ralph Gray,Directed,grants to,Anscher,Ralph Gray,Grantor,Recipient,Abbot,822,1130-1135
"Roger, Abbot of Reading","Warin, son of Ralph of Wycombe",Directed,grants to,Roger,Warin,Grantor,Recipient,Abbot,823,1158-1165
Osbern Driebried,"Roger, Abbot of Reading",Directed,forfeits to,Osbern,Roger,Forfeitor,Recipient,,823,1158-1165
Hamone of Shottesbrooke,"Roger, Abbot of Reading",Directed,witnesses,Hamone,Roger,Witness,Grantor,,823,1158-1165
Godwin of Thatcham,"Roger, Abbot of Reading",Directed,witnesses,Godwyno,Roger,Witness,Grantor,,823,1158-1165
Hereward of Maidenhatch,"Roger, Abbot of Reading",Directed,witnesses,Herewardo,Roger,Witness,Grantor,,823,1158-1165
William Cailli,"Roger, Abbot of Reading",Directed,witnesses,Willelmo,Roger,Witness,Grantor,,823,1158-1165
Edmund of Tilehurst,"Roger, Abbot of Reading",Directed,witnesses,Edmund,Roger,Witness,Grantor,,823,1158-1165
Robert Olient,"Roger, Abbot of Reading",Directed,witnesses,Robert,Roger,Witness,Grantor,,823,1158-1165
"Gilbert, priest of Tilehurst","Roger, Abbot of Reading",Directed,witnesses,Gilbert,Roger,Witness,Grantor,,823,1158-1165
"Walter, son of Liulf of Stokes","Roger, Abbot of Reading",Directed,witnesses,Walter,Roger,Witness,Grantor,,823,1158-1165
"Peter, the clerk","Roger, Abbot of Reading",Directed,witnesses,Petro,Roger,Witness,Grantor,Cleric/Priest,823,1158-1165
"Edward, the clerk","Roger, Abbot of Reading",Directed,witnesses,Edward,Roger,Witness,Grantor,Cleric/Priest,823,1158-1165
Hamone of Shottesbrooke,"Warin, son of Ralph of Wycombe",Directed,witnesses,Hamone,Warin,Witness,Recipient,,823,1158-1165
Godwin of Thatcham,"Warin, son of Ralph of Wycombe",Directed,witnesses,Godwyno,Warin,Witness,Recipient,,823,1158-1165
Hereward of Maidenhatch,"Warin, son of Ralph of Wycombe",Directed,witnesses,Herewardo,Warin,Witness,Recipient,,823,1158-1165
William Cailli,"Warin, son of Ralph of Wycombe",Directed,witnesses,Willelmo,Warin,Witness,Recipient,,823,1158-1165
Edmund of Tilehurst,"Warin, son of Ralph of Wycombe",Directed,witnesses,Edmund,Warin,Witness,Recipient,,823,1158-1165
Robert Olient,"Warin, son of Ralph of Wycombe",Directed,witnesses,Robert,Warin,Witness,Recipient,,823,1158-1165
"Gilbert, priest of Tilehurst","Warin, son of Ralph of Wycombe",Directed,witnesses,Gilbert,Warin,Witness,Recipient,,823,1158-1165
"Walter, son of Liulf of Stokes","Warin, son of Ralph of Wycombe",Directed,witnesses,Walter,Warin,Witness,Recipient,,823,1158-1165
"Peter, the clerk","Warin, son of Ralph of Wycombe",Directed,witnesses,Petro,Warin,Witness,Recipient,Cleric/Priest,823,1158-1165
"Edward, the clerk","Warin, son of Ralph of Wycombe",Directed,witnesses,Edward,Warin,Witness,Recipient,Cleric/Priest,823,1158-1165
"Roger, Abbot of Reading","Geoffrey, the clerk",Directed,leases to,Roger,Geoffrey,Grantor,Recipient,Abbot,824,1158-1165
"Robert, the steward","Roger, Abbot of Reading",Directed,witnesses,Robert,Roger,Witness,Grantor,Steward (dapifer),824,1158-1165
Hamone of Shottesbrooke,"Roger, Abbot of Reading",Directed,witnesses,Hamone,Roger,Witness,Grantor,,824,1158-1165
Warin of Ponte,"Roger, Abbot of Reading",Directed,witnesses,Warin,Roger,Witness,Grantor,,824,1158-1165
Ralph Bilhog,"Roger, Abbot of Reading",Directed,witnesses,Radulpho,Roger,Witness,Grantor,,824,1158-1165
Reginald Lamb,"Roger, Abbot of Reading",Directed,witnesses,Rainaldo,Roger,Witness,Grantor,,824,1158-1165
"Robert, the steward","Geoffrey, the clerk",Directed,witnesses,Robert,Geoffrey,Witness,Recipient,Steward,824,1158-1165
Hamone of Shottesbrooke,"Geoffrey, the clerk",Directed,witnesses,Hamone,Geoffrey,Witness,Recipient,,824,1158-1165
Warin of Ponte,"Geoffrey, the clerk",Directed,witnesses,Warin,Geoffrey,Witness,Recipient,,824,1158-1165
Ralph Bilhog,"Geoffrey, the clerk",Directed,witnesses,Radulpho,Geoffrey,Witness,Recipient,,824,1158-1165
Reginald Lamb,"Geoffrey, the clerk",Directed,witnesses,Rainaldo,Geoffrey,Witness,Recipient,,824,1158-1165
"William I, Abbot of Reading","Walter, the marshal",Directed,grants to,William I,Walter,Grantor,Recipient,Abbot,825,1165-1173
"Simon, the steward","William I, Abbot of Reading",Directed,witnesses,Simon,William I,Witness,Grantor,Steward,825,1165-1173
Ralph of Reading,"William I, Abbot of Reading",Directed,witnesses,Radulfo,William I,Witness,Grantor,,825,1165-1173
"Reginald, the butler","William I, Abbot of Reading",Directed,witnesses,Reginald,William I,Witness,Grantor,"Butler, Cup-bearer (pincerna)",825,1165-1173
Philip,"William I, Abbot of Reading",Directed,witnesses,Philip,William I,Witness,Grantor,,825,1165-1173
"Robert, the chamberlain","William I, Abbot of Reading",Directed,witnesses,Robert,William I,Witness,Grantor,Chamberlin,825,1165-1173
"Walter, the cook","William I, Abbot of Reading",Directed,witnesses,Walter,William I,Witness,Grantor,Cook,825,1165-1173
"Ralph, the canon","William I, Abbot of Reading",Directed,witnesses,Radulfo,William I,Witness,Grantor,Canon,825,1165-1173
"Peter, the clerk","William I, Abbot of Reading",Directed,witnesses,Petro,William I,Witness,Grantor,Cleric/Priest,825,1165-1173
Geoffrey preposito,"William I, Abbot of Reading",Directed,witnesses,Gaufredus,William I,Witness,Grantor,Provost,825,1165-1173
"Alfwin, brother of Walter the cook","William I, Abbot of Reading",Directed,witnesses,Alfwino,William I,Witness,Grantor,,825,1165-1173
"Simon, the steward","Walter, the marshal",Directed,witnesses,Simon,Walter,Witness,Recipient,Steward,825,1165-1173
Ralph of Reading,"Walter, the marshal",Directed,witnesses,Radulfo,Walter,Witness,Recipient,,825,1165-1173
"Reginald, the butler","Walter, the marshal",Directed,witnesses,Reginald,Walter,Witness,Recipient,Cup-bearer,825,1165-1173
Philip,"Walter, the marshal",Directed,witnesses,Philip,Walter,Witness,Recipient,,825,1165-1173
"Robert, the chamberlain","Walter, the marshal",Directed,witnesses,Robert,Walter,Witness,Recipient,Chamberlin,825,1165-1173
"Walter, the cook","Walter, the marshal",Directed,witnesses,Walter,Walter,Witness,Recipient,Cook,825,1165-1173
"Ralph, the canon","Walter, the marshal",Directed,witnesses,Radulfo,Walter,Witness,Recipient,Canon,825,1165-1173
"Peter, the clerk","Walter, the marshal",Directed,witnesses,Petro,Walter,Witness,Recipient,Cleric/Priest,825,1165-1173
Geoffrey preposito,"Walter, the marshal",Directed,witnesses,Gaufredus,Walter,Witness,Recipient,Provost,825,1165-1173
"Alfwin, brother of Walter the cook","Walter, the marshal",Directed,witnesses,Alfwino,Walter,Witness,Recipient,,825,1165-1173
"William I, Abbot of Reading",Osbert of Rotherwick,Directed,grants to,William I,Osbert,Grantor,Recipient,Abbot,826,1165-1173
Robert of Waltham,"William I, Abbot of Reading",Directed,witnesses,Robert,William I,Witness,Grantor,,826,1165-1173
Ralph of Bolney,"William I, Abbot of Reading",Directed,witnesses,Radulfo,William I,Witness,Grantor,,826,1165-1173
William of Waltham,"William I, Abbot of Reading",Directed,witnesses,Willelm,William I,Witness,Grantor,,826,1165-1173
"Simon, the steward","William I, Abbot of Reading",Directed,witnesses,Simon,William I,Witness,Grantor,Steward,826,1165-1173
"Ralph, the steward","William I, Abbot of Reading",Directed,witnesses,Radulfo,William I,Witness,Grantor,Steward,826,1165-1173
"Peter, the clerk","William I, Abbot of Reading",Directed,witnesses,Petro,William I,Witness,Grantor,Cleric/Priest,826,1165-1173
"Robert, the chamberlain","William I, Abbot of Reading",Directed,witnesses,Robert,William I,Witness,Grantor,Chamberlin,826,1165-1173
Robert of Wallingford,"William I, Abbot of Reading",Directed,witnesses,Robert,William I,Witness,Grantor,,826,1165-1173
Warin preposito,"William I, Abbot of Reading",Directed,witnesses,Warin,William I,Witness,Grantor,Provost,826,1165-1173
Geoffrey preposito,"William I, Abbot of Reading",Directed,witnesses,Gaufredus,William I,Witness,Grantor,Provost,826,1165-1173
Robert of Waltham,Osbert of Rotherwick,Directed,witnesses,Robert,Osbert,Witness,Recipient,,826,1165-1173
Ralph of Bolney,Osbert of Rotherwick,Directed,witnesses,Radulfo,Osbert,Witness,Recipient,,826,1165-1173
William of Waltham,Osbert of Rotherwick,Directed,witnesses,Willelm,Osbert,Witness,Recipient,,826,1165-1173
"Simon, the steward",Osbert of Rotherwick,Directed,witnesses,Simon,Osbert,Witness,Recipient,Steward,826,1165-1173
"Ralph, the steward",Osbert of Rotherwick,Directed,witnesses,Radulfo,Osbert,Witness,Recipient,Steward,826,1165-1173
"Peter, the clerk",Osbert of Rotherwick,Directed,witnesses,Petro,Osbert,Witness,Recipient,Cleric/Priest,826,1165-1173
"Robert, the chamberlain",Osbert of Rotherwick,Directed,witnesses,Robert,Osbert,Witness,Recipient,Chamberlin,826,1165-1173
Robert of Wallingford,Osbert of Rotherwick,Directed,witnesses,Robert,Osbert,Witness,Recipient,,826,1165-1173
Warin preposito,Osbert of Rotherwick,Directed,witnesses,Warin,Osbert,Witness,Recipient,Provost,826,1165-1173
Geoffrey preposito,Osbert of Rotherwick,Directed,witnesses,Gaufredus,Osbert,Witness,Recipient,Provost,826,1165-1173
"William I, Abbot of Reading","Geoffrey, the clerk",Directed,leases to,William I,Geoffrey,Grantor,Recipient,Abbot,827,1165-1173
Master Gilbert,"William I, Abbot of Reading",Directed,witnesses,Gilbert,William I,Witness,Grantor,Teacher,827,1165-1173
Ralph of Bolney,"William I, Abbot of Reading",Directed,witnesses,Radulfo de Bulehuda,William I,Witness,Grantor,,827,1165-1173
"Simon, the steward","William I, Abbot of Reading",Directed,witnesses,Simone,William I,Witness,Grantor,Steward,827,1165-1173
"Ralph, the steward","William I, Abbot of Reading",Directed,witnesses,Radulfo,William I,Witness,Grantor,Steward,827,1165-1173
"Robert, the chamberlain","William I, Abbot of Reading",Directed,witnesses,Roberto,William I,Witness,Grantor,Chamberlin,827,1165-1173
Reginald Lamb,"William I, Abbot of Reading",Directed,witnesses,Reginald Lamb,William I,Witness,Grantor,,827,1165-1173
Warin preposito,"William I, Abbot of Reading",Directed,witnesses,Warino,William I,Witness,Grantor,Provost,827,1165-1173
Walter of Oxford,"William I, Abbot of Reading",Directed,witnesses,Walter de Oxenford,William I,Witness,Grantor,,827,1165-1173
Gilbert super Pontem,"William I, Abbot of Reading",Directed,witnesses,Gilbert super pontem,William I,Witness,Grantor,,827,1165-1173
William Bevin,"William I, Abbot of Reading",Directed,witnesses,Willelmo Bevyn,William I,Witness,Grantor,,827,1165-1173
"Daniel, the clerk","William I, Abbot of Reading",Directed,witnesses,Daniele,William I,Witness,Grantor,Cleric/Priest,827,1165-1173
Ralph Cepernail,"William I, Abbot of Reading",Directed,witnesses,Radulfo Cepernail,William I,Witness,Grantor,,827,1165-1173
"Walter, the cook","William I, Abbot of Reading",Directed,witnesses,Walter,William I,Witness,Grantor,Cook,827,1165-1173
"Walter, son of Aldwin Wille","William I, Abbot of Reading",Directed,witnesses,Walter,William I,Witness,Grantor,,827,1165-1173
Master Gilbert,"Geoffrey, the clerk",Directed,witnesses,Gilbert,Geoffrey,Witness,Recipient,Teacher,827,1165-1173
Ralph of Bolney,"Geoffrey, the clerk",Directed,witnesses,Radulfo,Geoffrey,Witness,Recipient,,827,1165-1173
"Simon, the steward","Geoffrey, the clerk",Directed,witnesses,Simone,Geoffrey,Witness,Recipient,Steward,827,1165-1173
"Ralph, the steward","Geoffrey, the clerk",Directed,witnesses,Radulfo,Geoffrey,Witness,Recipient,Steward,827,1165-1173
"Robert, the chamberlain","Geoffrey, the clerk",Directed,witnesses,Roberto,Geoffrey,Witness,Recipient,Chamberlin,827,1165-1173
Reginald Lamb,"Geoffrey, the clerk",Directed,witnesses,Reginald,Geoffrey,Witness,Recipient,,827,1165-1173
Warin preposito,"Geoffrey, the clerk",Directed,witnesses,Warino,Geoffrey,Witness,Recipient,Provost,827,1165-1173
Walter of Oxford,"Geoffrey, the clerk",Directed,witnesses,Walter,Geoffrey,Witness,Recipient,,827,1165-1173
Gilbert super Pontem,"Geoffrey, the clerk",Directed,witnesses,Gilbert,Geoffrey,Witness,Recipient,,827,1165-1173
William Bevin,"Geoffrey, the clerk",Directed,witnesses,Willelmo,Geoffrey,Witness,Recipient,,827,1165-1173
"Daniel, the clerk","Geoffrey, the clerk",Directed,witnesses,Daniele,Geoffrey,Witness,Recipient,Cleric/Priest,827,1165-1173
Ralph Cepernail,"Geoffrey, the clerk",Directed,witnesses,Radulfo,Geoffrey,Witness,Recipient,,827,1165-1173
"Walter, the cook","Geoffrey, the clerk",Directed,witnesses,Walter,Geoffrey,Witness,Recipient,Cook,827,1165-1173
"Walter, son of Aldwin Wille","Geoffrey, the clerk",Directed,witnesses,Walter,Geoffrey,Witness,Recipient,,827,1165-1173
"William I, Abbot of Reading","Rannulf, son of Tomus",Directed,leases to,William I,Rannulf,Grantor,Recipient,Abbot,828,1165-1173
"Rannulf, son of Tomus",Tomus,Directed,related to,Rannulf,Tomus,Son,Father,,828,1165-1173
"Joseph, Abbot of Reading",William of Lincoln,Directed,grants to,Joseph,William of Lincoln,Grantor,Recipient,Abbot,829,1173-1186
"Joseph, Abbot of Reading","Adam, the clerk of Essendene",Directed,leases to,Joseph,Adam,Grantor,Recipient,Abbot,830,1173-1186
"Hervey, the priest","Joseph, Abbot of Reading",Directed,witnesses,Herveo,Joseph,Witness,Grantor,Priest (presbitero),830,1173-1186
"Peter, the clerk","Joseph, Abbot of Reading",Directed,witnesses,Petro,Joseph,Witness,Grantor,Cleric/Priest,830,1173-1186
Geoffrey preposito,"Joseph, Abbot of Reading",Directed,witnesses,Gaufredo,Joseph,Witness,Grantor,Provost,830,1173-1186
William Bevin,"Joseph, Abbot of Reading",Directed,witnesses,Willelmo Bevyn,Joseph,Witness,Grantor,,830,1173-1186
"William, the steward","Joseph, Abbot of Reading",Directed,witnesses,Willelmo,Joseph,Witness,Grantor,Steward (dispensator),830,1173-1186
"Peter, the butler","Joseph, Abbot of Reading",Directed,witnesses,Petro,Joseph,Witness,Grantor,Cup-bearer,830,1173-1186
"Henry, brother of Walter","Joseph, Abbot of Reading",Directed,witnesses,Henry,Joseph,Witness,Grantor,,830,1173-1186
"John, grandson of Adam","Joseph, Abbot of Reading",Directed,witnesses,John,Joseph,Witness,Grantor,Grandson (nepote),830,1173-1186
"Hervey, the priest","Adam, the clerk of Essendene",Directed,witnesses,Herveo,Adam,Witness,Recipient,,830,1173-1186
"Peter, the clerk","Adam, the clerk of Essendene",Directed,witnesses,Petro,Adam,Witness,Recipient,Cleric/Priest,830,1173-1186
Geoffrey preposito,"Adam, the clerk of Essendene",Directed,witnesses,Gaufredo,Adam,Witness,Recipient,Provost,830,1173-1186
William Bevin,"Adam, the clerk of Essendene",Directed,witnesses,Willelmo Bevyn,Adam,Witness,Recipient,,830,1173-1186
"William, the steward","Adam, the clerk of Essendene",Directed,witnesses,Willelmo,Adam,Witness,Recipient,Manager,830,1173-1186
"Peter, the butler","Adam, the clerk of Essendene",Directed,witnesses,Petro,Adam,Witness,Recipient,Cup-bearer,830,1173-1186
"Henry, brother of Walter","Adam, the clerk of Essendene",Directed,witnesses,Henry,Adam,Witness,Recipient,,830,1173-1186
"John, grandson of Adam","Adam, the clerk of Essendene",Directed,witnesses,John,Adam,Witness,Recipient,,830,1173-1186
"Joseph, Abbot of Reading","William, son of Robert of Reading",Directed,leases to,Joseph,William,Grantor,Recipient,,831,1173-1186
"Fulcred, the vitner","Joseph, Abbot of Reading",Directed,witnesses,Fulcredo,Joseph,Witness,Grantor,Vinitore,831,1173-1186
"Ralph, the steward","Joseph, Abbot of Reading",Directed,witnesses,Radulfo,Joseph,Witness,Grantor,,831,1173-1186
Osbert of Maidenhatch,"Joseph, Abbot of Reading",Directed,witnesses,Osbert,Joseph,Witness,Grantor,,831,1173-1186
Ralph of Stanford,"Joseph, Abbot of Reading",Directed,witnesses,Radulfo,Joseph,Witness,Grantor,,831,1173-1186
Master W.,"Joseph, Abbot of Reading",Directed,witnesses,Master,Joseph,Witness,Grantor,,831,1173-1186
Warin Wafree,"Joseph, Abbot of Reading",Directed,witnesses,Warino,Joseph,Witness,Grantor,,831,1173-1186
Roger pictore,"Joseph, Abbot of Reading",Directed,witnesses,Roger,Joseph,Witness,Grantor,Pictore,831,1173-1186
"Walter, the cook","Joseph, Abbot of Reading",Directed,witnesses,Walter,Joseph,Witness,Grantor,,831,1173-1186
"Hugo, nephew (grandson) of Lambert the chamberlain","Joseph, Abbot of Reading",Directed,witnesses,Hugo,Joseph,Witness,Grantor,Nepote,831,1173-1186
"Hubert, nephew (grandson) of Hugh of Sulham","Joseph, Abbot of Reading",Directed,witnesses,Hubert,Joseph,Witness,Grantor,Nepote,831,1173-1186
Gilbert latore,"Joseph, Abbot of Reading",Directed,witnesses,Gilbert,Joseph,Witness,Grantor,,831,1173-1186
Warin preposito,"Joseph, Abbot of Reading",Directed,witnesses,Warin,Joseph,Witness,Grantor,,831,1173-1186
"Hamo, the scribe","Joseph, Abbot of Reading",Directed,witnesses,Hamone,Joseph,Witness,Grantor,Scriptore,831,1173-1186
"Fulcred, the vitner","William, son of Robert of Reading",Directed,witnesses,Fulcredo,William,Witness,Recipient,,831,1173-1186
"Ralph, the steward","William, son of Robert of Reading",Directed,witnesses,Radulfo,William,Witness,Recipient,,831,1173-1186
Osbert of Maidenhatch,"William, son of Robert of Reading",Directed,witnesses,Osbert,William,Witness,Recipient,,831,1173-1186
Ralph of Stanford,"William, son of Robert of Reading",Directed,witnesses,Radulfo,William,Witness,Recipient,,831,1173-1186
Master W.,"William, son of Robert of Reading",Directed,witnesses,Master,William,Witness,Recipient,,831,1173-1186
Warin Wafree,"William, son of Robert of Reading",Directed,witnesses,Warino,William,Witness,Recipient,,831,1173-1186
Roger pictore,"William, son of Robert of Reading",Directed,witnesses,Roger,William,Witness,Recipient,,831,1173-1186
"Walter, the cook","William, son of Robert of Reading",Directed,witnesses,Walter,William,Witness,Recipient,,831,1173-1186
"Hugo, nephew (grandson) of Lambert the chamberlain","William, son of Robert of Reading",Directed,witnesses,Hugo,William,Witness,Recipient,,831,1173-1186
"Hubert, nephew (grandson) of Hugh of Sulham","William, son of Robert of Reading",Directed,witnesses,Hubert,William,Witness,Recipient,,831,1173-1186
Gilbert latore,"William, son of Robert of Reading",Directed,witnesses,Gilbert,William,Witness,Recipient,,831,1173-1186
Warin preposito,"William, son of Robert of Reading",Directed,witnesses,Warin,William,Witness,Recipient,,831,1173-1186
"Hamo, the scribe","William, son of Robert of Reading",Directed,witnesses,Hamone,William,Witness,Recipient,,831,1173-1186
"Joseph, Abbot of Reading",Durand of the king's chapel,Directed,grants to,Joseph,Durand,Grantor,Recipient,,832,1173-1186
Walter Marshal,"Joseph, Abbot of Reading",Directed,requests of,Walter,Joseph,Requestor,Requestee,,832,1173-1186
"Geoffrey, clerk of Bix","Joseph, Abbot of Reading",Directed,witnesses,Gaufredo,Joseph,Witness,Grantor,,832,1173-1186
Adam of Benham,"Joseph, Abbot of Reading",Directed,witnesses,Adam,Joseph,Witness,Grantor,,832,1173-1186
William Bevin,"Joseph, Abbot of Reading",Directed,witnesses,Willelmo,Joseph,Witness,Grantor,,832,1173-1186
"Geoffrey, clerk of Reading","Joseph, Abbot of Reading",Directed,witnesses,Galfredo,Joseph,Witness,Grantor,,832,1173-1186
"Raymond, son of Roger","Joseph, Abbot of Reading",Directed,witnesses,Remundo,Joseph,Witness,Grantor,,832,1173-1186
Walter of Oxford,"Joseph, Abbot of Reading",Directed,witnesses,Walter,Joseph,Witness,Grantor,,832,1173-1186
Walter Furmache,"Joseph, Abbot of Reading",Directed,witnesses,Walter,Joseph,Witness,Grantor,,832,1173-1186
William Furmache,"Joseph, Abbot of Reading",Directed,witnesses,Willelm,Joseph,Witness,Grantor,,832,1173-1186
Payn Vachell,"Joseph, Abbot of Reading",Directed,witnesses,Pagano,Joseph,Witness,Grantor,,832,1173-1186
Ralph Purcell,"Joseph, Abbot of Reading",Directed,witnesses,Radulfo,Joseph,Witness,Grantor,,832,1173-1186
William Boistard,"Joseph, Abbot of Reading",Directed,witnesses,Willelmo,Joseph,Witness,Grantor,,832,1173-1186
"Geoffrey, clerk of Bix",Durand of the king's chapel,Directed,witnesses,Gaufredo,Durand,Witness,Recipient,,832,1173-1186
Adam of Benham,Durand of the king's chapel,Directed,witnesses,Adam,Durand,Witness,Recipient,,832,1173-1186
William Bevin,Durand of the king's chapel,Directed,witnesses,Willelmo,Durand,Witness,Recipient,,832,1173-1186
"Geoffrey, clerk of Reading",Durand of the king's chapel,Directed,witnesses,Galfredo,Durand,Witness,Recipient,,832,1173-1186
"Raymond, son of Roger",Durand of the king's chapel,Directed,witnesses,Remundo,Durand,Witness,Recipient,,832,1173-1186
Walter of Oxford,Durand of the king's chapel,Directed,witnesses,Walter,Durand,Witness,Recipient,,832,1173-1186
Walter Furmache,Durand of the king's chapel,Directed,witnesses,Walter,Durand,Witness,Recipient,,832,1173-1186
William Furmache,Durand of the king's chapel,Directed,witnesses,Willelm,Durand,Witness,Recipient,,832,1173-1186
Payn Vachell,Durand of the king's chapel,Directed,witnesses,Pagano,Durand,Witness,Recipient,,832,1173-1186
Ralph Purcell,Durand of the king's chapel,Directed,witnesses,Radulfo,Durand,Witness,Recipient,,832,1173-1186
William Boistard,Durand of the king's chapel,Directed,witnesses,Willelmo,Durand,Witness,Recipient,,832,1173-1186
"Joseph, Abbot of Reading",Durand of the king's chapel,Directed,leases to,Joseph,Durand,Grantor,Recipient,,833,1173-1186
Geoffrey of Bix,"Joseph, Abbot of Reading",Directed,witnesses,Gaufred,Joseph,Witness,Grantor,,833,1173-1186
Osbert of Maidenhatch,"Joseph, Abbot of Reading",Directed,witnesses,Osbert,Joseph,Witness,Grantor,,833,1173-1186
Ralph of Caversham,"Joseph, Abbot of Reading",Directed,witnesses,Radulfo,Joseph,Witness,Grantor,,833,1173-1186
Alexander of Blebury,"Joseph, Abbot of Reading",Directed,witnesses,Alexandro,Joseph,Witness,Grantor,,833,1173-1186
Walter of Essindine,"Joseph, Abbot of Reading",Directed,witnesses,Walyero,Joseph,Witness,Grantor,,833,1173-1186
Hubert of Clere,"Joseph, Abbot of Reading",Directed,witnesses,Huberto,Joseph,Witness,Grantor,,833,1173-1186
Ralph Purcell,"Joseph, Abbot of Reading",Directed,witnesses,Radulfo,Joseph,Witness,Grantor,,833,1173-1186
